ID_Item;ID_Venda_CSV;ID_Produto_CSV;Qtd;Valor;DIAGNOSTICO
2122;1398;5915;1;100,00;Venda Pai Nao Existe no Banco
2124;1399;1534;2;320,00;Venda Pai Nao Existe no Banco
2125;1399;7460;1;460,00;Venda Pai Nao Existe no Banco
2126;1399;7443;1;320,00;Venda Pai Nao Existe no Banco
2127;1400;7550;1;550,00;Venda Pai Nao Existe no Banco
2128;1401;1534;1;320,00;Venda Pai Nao Existe no Banco
2129;1401;7491;1;480,00;Venda Pai Nao Existe no Banco
2130;1401;7492;1;480,00;Venda Pai Nao Existe no Banco
2132;1402;6361;1;340,00;Venda Pai Nao Existe no Banco
2133;1402;0;1;340,00;Venda Pai Nao Existe no Banco
2134;1402;1752;1;260,00;Venda Pai Nao Existe no Banco
2135;1403;1533;1;90,00;Venda Pai Nao Existe no Banco
2136;1403;6903;1;150,00;Venda Pai Nao Existe no Banco
2137;1405;1562;1;430,00;Venda Pai Nao Existe no Banco
2138;1406;1554;1;160,00;Venda Pai Nao Existe no Banco
2139;1407;1370;1;100,00;Venda Pai Nao Existe no Banco
2140;1408;1534;1;160,00;Venda Pai Nao Existe no Banco
2141;1408;7543;1;220,00;Venda Pai Nao Existe no Banco
2142;1409;1554;1;180,00;Venda Pai Nao Existe no Banco
2143;1409;6155;1;100,00;Venda Pai Nao Existe no Banco
2144;1410;1534;1;140,00;Venda Pai Nao Existe no Banco
2145;1411;1554;0,5;90,00;Venda Pai Nao Existe no Banco
2146;1412;1534;1;155,00;Venda Pai Nao Existe no Banco
2147;1412;6626;1;250,00;Venda Pai Nao Existe no Banco
2148;1413;4710;1;1.200,00;Venda Pai Nao Existe no Banco
2149;1413;7270;1;200,00;Venda Pai Nao Existe no Banco
2150;1414;1534;1;160,00;Venda Pai Nao Existe no Banco
2152;1415;1760;1;350,00;Venda Pai Nao Existe no Banco
2153;1415;7471;1;320,00;Venda Pai Nao Existe no Banco
2154;1414;7145;1;380,00;Venda Pai Nao Existe no Banco
2156;1416;7170;1;380,00;Venda Pai Nao Existe no Banco
2157;1416;5578;1;900,00;Venda Pai Nao Existe no Banco
2158;1417;6853;1;190,00;Venda Pai Nao Existe no Banco
2159;1418;3447;1;150,00;Venda Pai Nao Existe no Banco
2160;1419;1533;1;80,00;Venda Pai Nao Existe no Banco
2161;1419;1370;1;90,00;Venda Pai Nao Existe no Banco
2162;1420;1534;1;160,00;Venda Pai Nao Existe no Banco
2163;1420;4221;1;300,00;Venda Pai Nao Existe no Banco
2164;1421;1542;1;180,00;Venda Pai Nao Existe no Banco
2165;1422;1552;1;190,00;Venda Pai Nao Existe no Banco
2166;1423;5133;1;95,00;Venda Pai Nao Existe no Banco
2167;1424;1760;1;460,00;Venda Pai Nao Existe no Banco
2169;1425;4587;0,5;260,00;Venda Pai Nao Existe no Banco
2170;1426;1542;1;260,00;Venda Pai Nao Existe no Banco
2171;1427;6347;1;240,00;Venda Pai Nao Existe no Banco
2172;1427;6510;1;460,00;Venda Pai Nao Existe no Banco
2173;1428;1533;1;170,00;Venda Pai Nao Existe no Banco
2174;1428;6018;1;490,00;Venda Pai Nao Existe no Banco
2175;1429;1533;1;90,00;Venda Pai Nao Existe no Banco
