Código;Lk_venda;Lk_produto;Qtd;Valor vendido;Custo;Valor normal
14047;9387;7821;1;260,00;0,00;
14052;9388;8795;1;530,00;0,00;
14054;9388;8913;1;1.600,00;0,00;
14055;9390;1554;1;240,00;0,00;
14056;9390;1349;1;100,00;0,00;
14057;9391;8185;1;610,00;0,00;
14058;9393;8749;1;530,00;0,00;
14059;9393;1534;1;160,00;0,00;
14060;9394;8894;1;400,00;0,00;
14061;9394;1760;1;600,00;0,00;
14062;9396;1534;1;150,00;0,00;
14063;9396;8193;1;150,00;0,00;
14064;9397;7878;1;180,00;0,00;
14065;9397;1542;1;350,00;0,00;
14066;9398;5926;1;380,00;0,00;
14067;9398;1542;1;350,00;0,00;
14068;9400;8552;1;190,00;0,00;
14069;9401;7628;1;190,00;0,00;
14070;9403;1552;1;350,00;0,00;
14071;9404;7821;1;260,00;0,00;
14072;9405;7821;1;260,00;0,00;
14073;9407;8102;1;585,00;0,00;
14074;9408;1542;1;350,00;0,00;
14075;9409;1372;1;170,00;0,00;
14076;9410;1552;1;350,00;0,00;
14077;9410;8552;1;120,00;0,00;
14078;9412;1534;1;140,00;0,00;
14079;9412;7114;1;100,00;0,00;
14080;9414;1542;1;350,00;0,00;
14081;9414;8552;1;160,00;0,00;
14082;9415;1552;1;350,00;0,00;
14083;9415;7821;1;270,00;0,00;
14085;9416;8915;1;1.067,00;0,00;
14086;9373;8908;1;1.469,00;0,00;
14087;9417;8159;1;1.180,00;0,00;
14089;9419;1534;1;140,00;0,00;
